screen_capacity,movie_rating,ticket_price,days_since_release,seats_filled_pct
210,5.7,303,43,36.93
307,4.2,410,49,55.2
425,3.4,222,59,72.96
277,9.4,325,54,60.56
449,1.9,491,24,49.27
237,1.2,370,16,24.79
199,3.2,186,47,54.51
234,7.9,416,41,50.85
239,8.1,118,60,73.08
470,5.8,291,15,64.35
329,4.8,450,2,40.45
115,2.3,468,59,20.69
185,8.6,474,4,36.04
143,3.0,327,15,22.54
276,9.3,210,56,85.97
161,6.3,125,7,45.69
100,7.4,117,26,48.77
384,1.6,415,7,27.79
127,2.7,193,30,35.3
300,7.5,461,33,52.99
261,5.1,340,20,39.57
392,2.3,364,12,25.53
460,1.7,214,47,58.67
382,8.9,127,36,86.54
141,8.5,481,23,31.5
